287,202,478,19
285,223,20,69
625,222,18,76
793,252,20,199
254,453,592,24
457,379,17,74
443,437,15,18
464,439,23,21
606,215,12,18
616,218,19,22
633,217,23,17
650,215,13,12
637,229,10,9
483,447,10,11
466,433,15,12
453,431,6,7
437,444,20,22
783,441,20,21
796,443,27,14
809,435,10,11
815,447,13,11
789,434,6,9
775,448,17,14
49,285,79,20
49,539,171,22
202,511,16,215
188,526,20,28
191,547,20,24
180,551,14,16
195,561,12,17
181,532,6,12
195,521,8,11
1013,287,127,16
846,457,294,19
882,474,183,253
797,711,894,21
1219,551,17,161
1473,552,17,160
1058,466,22,24
1075,466,10,14
1054,478,14,15
1051,480,20,14
870,468,22,19
864,472,10,8
877,483,14,9
1047,698,33,21
1046,688,25,9
1057,704,30,27
870,697,28,24
875,689,14,12
862,704,19,17
1206,695,19,26
1227,696,19,22
1230,685,12,7
1216,690,29,14
1238,702,13,14
1249,706,6,9
1213,688,11,9
1198,702,14,13
1226,697,24,10
1459,697,26,18
1465,688,14,12
1451,703,13,8
1478,696,23,24
1480,688,15,16
1488,703,20,15
1643,506,99,172
1565,457,128,19
1218,48,19,160
1472,47,16,159
1566,289,767,16
1640,48,104,242
1626,274,17,17
1635,268,9,13
1619,282,14,14
1730,274,22,27
1725,275,32,23
1742,268,8,8
1752,282,11,10
1523,1303,679,20
1526,1473,715,18
2149,1491,17,82
2133,1482,23,20
2154,1484,24,16
2156,1495,17,14
2170,1486,16,10
2141,1495,12,15
2127,1486,10,9
1051,883,183,554
1234,884,461,181
202,880,17,218
422,1135,218,16
372,1181,17,53
202,1313,17,261
218,1388,256,17
214,1375,18,20
204,1368,25,7
220,1381,20,9
210,1388,22,31
228,1398,11,11
204,1398,22,26
373,1559,476,16
879,1607,19,118
626,1386,218,21
877,928,20,426
798,1134,79,19
941,881,521,101
929,881,35,100
1445,880,245,17
1685,879,9,12
1474,1059,219,89
1668,931,73,169
1681,1085,34,37
1677,906,37,44
1691,918,36,32
1679,893,26,22
1706,1088,22,23
1681,1110,24,25
1053,1408,97,316
1135,1416,55,65
1164,1419,49,40
1126,1467,43,37
1470,1354,19,83
2486,288,19,302
2233,302,18,424
2245,626,207,18
2243,299,24,23
2264,299,11,14
2244,306,14,24
2240,610,24,22
2260,620,15,9
2247,601,10,13
2243,637,23,25
2261,638,11,13
2240,648,19,20
2217,304,21,16
2209,301,10,9
2225,309,14,18
2233,1050,100,15
2284,880,135,17
372,711,220,18
627,759,16,170
370,879,19,50
422,962,167,21
52,1134,113,18
